yyse,ser_no,co_chg,dpt_code,year,cou_code,class,credit,tlec,tlab,forh,sel_code,cou_cname,cou_ename,tea_seq,tea_code,tea_cname,tea_ename,clsrom_1,clsrom_2,clsrom_3,clsrom_4,clsrom_5,clsrom_6,st1,day1,st2,day2,st3,day3,st4,day4,st5,day5,st6,day6,limit,tno,eno,co_select,sno,mark,co_rep,co_tp,co_gmark,co_eng,grpno,initsel,outside,pre_course,dpt_abbr,cou_teacno,chgitem,engmark
1002,,1,1020,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,博雅101,,,,,,,567,,,,,,,,,,,,1,0,,0,,0,1,,1,0,0,0,,Common,1002,,
1002,,1,1030,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,,,,,,,,,,,,,,,,678,,,,100,0,,0,參閱共同必修科目表,0,1,,1,0,0,,,Common,1002,,
1002,,1,1040,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,,,,,,,,,,,,,,,,678,,,,45,0,,0,參閱共同必修課程時間表,0,1,,1,0,0,,,Common,1002,,
1002,,1,1050,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,,,,,,,,,,,,,,,,678,,,,100,0,,0,參閱國文領域課程時間表,0,1,,1,0,0,,,Common,1002,,
1002,,1,1060,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,,,,,,,,,,,,,,,,678,,,,100,0,,0,參閱國文領域課程時間表,0,1,,1,0,0,,,Common,1002,,
1002,,1,1070,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,,,,,,,,,,,,,,,,678,,,,100,0,,0,參閱國文領域課程時間表,0,1,,1,0,0,,,Common,1002,,
1002,,1,1090,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,,,,,,,,,,,,,,,,678,,,,100,0,,0,參閱共同必修課程時間表,0,1,,1,0,0,,,Common,1002,,
1002,,1,2010,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,,,,,,,S,12,,,,,,12,,,,,,45,0,,0,請參閱共同必修課程時間表,0,1,,1,0,0,,,Common,1002,,
1002,,1,2020,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,,,,,,,S,12,,,,,,12,,,,,,100,0,,0,參閱共同必修課程時間表,0,1,,1,0,0,0,,Common,1002,,
1002,,1,2030,1,000 10002,,3,3,0,1,3,國文領域下,Chinese (2),,,,,,,,,,,S,12,,,,,,12,,,,,,100,0,,0,參閱國文領域課程時間表,0,1,,1,0,0,,,Common,1002,,
